symbol,name
SILVER360,SILVER ETF
SILVERADD,SILVER ETF
SILVERAG,SILVER ETF
SILVERAXIS,SILVER ETF
SILVERBEES,SILVER ETF
SILVERBETA,SILVER ETF
SILVERBND,SILVER ETF
SILVERCASE,SILVER ETF
SILVERIETF,SILVER ETF
SMALL250,Nifty Smallcap 250 ETF
SMALLADD,Nifty Smallcap 250 ETF
SMALLCAP,Nifty Smallcap 250 Momentum Quality 100 ETF
SMALLGROWW,Nifty Smallcap 250 Momentum Quality 100 ETF
SMALLIETF,Nifty Smallcap 250 ETF
SML100CASE,Nifty Smallcap100 ETF
SNXT30BEES,BSE Sensex Next 30 ETF
SNXT50BETA,BSE SENSEX Next 50 ETF
TATAGOLD,GOLD ETF
TATSILV,SILVER ETF
TECH,Nifty IT ETF
TNIDETF,Nifty Private Bank ETF
TOP100CASE,Nifty 100 ETF
TOP10ADD,Nifty Top 10 Equal Weight ETF
TOP15IETF,Nifty Top 15 Equal Weight ETF
TOP20,Nifty Top 20 Equal Weight ETF
TWCGOLDETF,GOLD ETF
UNIONGOLD,GOLD ETF
VAL30IETF,Nifty 200 Value 30 ETF
VALUE,Nifty 500 Value 50 ETF
VALUEAXIS,Nifty 500 Value 50 ETF
